0 0.83122009 0.26351482 
-0.0099999998 0.83121532 0.26351583 
-0.02 0.83121055 0.26351681 
-0.029999999 0.83120579 0.26351783 
-0.039999999 0.83120102 0.26351884 
-0.050000001 0.83119625 0.26351985 
-0.059999999 0.83119148 0.26352084 
-0.07 0.83118671 0.26352185 
-0.079999998 0.83118194 0.26352286 
-0.090000004 0.83117723 0.26352388 
-0.1 0.83117247 0.26352486 
-0.11 0.83116776 0.26352587 
-0.12 0.83116299 0.26352689 
-0.13 0.83115828 0.2635279 
-0.14 0.83115351 0.26352891 
-0.15000001 0.8311488 0.26352993 
-0.16 0.83114403 0.26353094 
-0.17 0.83113933 0.26353195 
-0.18000001 0.83113462 0.26353297 
-0.19 0.83112991 0.26353398 
-0.2 0.8311252 0.26353499 
-0.20999999 0.83112043 0.26353601 
-0.22 0.83111572 0.26353702 
-0.23 0.83111101 0.26353803 
-0.23999999 0.83110631 0.26353908 
-0.25 0.83110166 0.26354009 
-0.25999999 0.83109695 0.2635411 
-0.27000001 0.83109224 0.26354212 
-0.28 0.83108753 0.26354316 
-0.28999999 0.83108282 0.26354417 
-0.30000001 0.83107817 0.26354519 
-0.31 0.83107346 0.26354623 
-0.31999999 0.83106875 0.26354724 
-0.33000001 0.83106411 0.26354825 
-0.34 0.8310594 0.2635493 
-0.34999999 0.83105475 0.26355031 
-0.36000001 0.8310501 0.26355135 
-0.37 0.83104539 0.26355237 
-0.38 0.83104074 0.26355341 
-0.38999999 0.83103609 0.26355442 
-0.40000001 0.83103138 0.26355547 
-0.41 0.83102673 0.26355651 
-0.41999999 0.83102208 0.26355752 
-0.43000001 0.83101743 0.26355857 
-0.44 0.83101279 0.26355958 
-0.44999999 0.83100814 0.26356062 
-0.46000001 0.83100349 0.26356167 
-0.47 0.83099884 0.26356271 
-0.47999999 0.83099419 0.26356372 
-0.49000001 0.83098954 0.26356477 
-0.5 0.83098495 0.26356581 
-0.50999999 0.8309803 0.26356685 
-0.51999998 0.83097565 0.26356789 
-0.52999997 0.83097106 0.26356894 
-0.54000002 0.83096641 0.26356998 
-0.55000001 0.83096176 0.26357102 
-0.56 0.83095717 0.26357207 
-0.56999999 0.83095253 0.26357311 
-0.57999998 0.83094794 0.26357415 
-0.58999997 0.83094335 0.2635752 
-0.60000002 0.8309387 0.26357624 
